Kommun,Andel män,Andel sysselsatta,andeltätort,Medelinkomst,Andel utländsktfödda,Medelålder,Mestrostadeparti
Ale,0.50923010434031,0.854414214325375,0.83,334.4,0.182842501697845,39.5,Arbetarepartiet-Socialdemokraterna
Alingsås,0.496243986824332,0.84682328538576,0.83,328.1,0.12223038460627,39.8,Arbetarepartiet-Socialdemokraterna
Älmhult,0.509506964404157,0.813585448566437,0.73,334.4,0.275204510280787,40.8,Arbetarepartiet-Socialdemokraterna
Älvdalen,0.513251638643488,0.837943559653534,0.68,282.6,0.096181248218866,41.0,Sverigedemokraterna
Alvesta,0.514439453028583,0.810888526789993,0.7,288.1,0.203633311941551,39.1,Arbetarepartiet-Socialdemokraterna
Älvkarleby,0.509506493506493,0.806766169154229,0.9,296.8,0.14774025974026,40.5,Arbetarepartiet-Socialdemokraterna
Älvsbyn,0.514094299077234,0.809387657850846,0.75,290.0,0.10327392238655,38.3,Arbetarepartiet-Socialdemokraterna
Åmål,0.505157170923379,0.779948750800769,0.8,278.7,0.156270464963982,38.5,Arbetarepartiet-Socialdemokraterna
Aneby,0.51084407971864,0.835965641451926,0.62,300.4,0.132033997655334,39.5,Arbetarepartiet-Socialdemokraterna
Ånge,0.520288745488352,0.795135248479765,0.6,286.9,0.082029968281746,38.4,Arbetarepartiet-Socialdemokraterna
Ängelholm,0.493855606758833,0.839861158724717,0.86,332.0,0.131652661064426,40.5,Arbetarepartiet-Socialdemokraterna
Arboga,0.506994248384577,0.802554694931377,0.82,292.7,0.150749130156927,38.0,Arbetarepartiet-Socialdemokraterna
Åre,0.519789132197891,0.852635948526359,0.63,304.7,0.118167072181671,39.7,Arbetarepartiet-Socialdemokraterna
Årjäng,0.514625781722816,0.810100245886136,0.47,301.8,0.21989106314303,41.2,Sverigedemokraterna
Arjeplog,0.523434570678665,0.851691864650828,0.63,298.1,0.109861267341582,41.8,Arbetarepartiet-Socialdemokraterna
Arvidsjaur,0.52070037637048,0.829580988117574,0.76,299.2,0.096710849288169,39.6,Sverigedemokraterna
Arvika,0.502400123877361,0.816706372840977,0.65,295.8,0.125967791886033,39.9,Arbetarepartiet-Socialdemokraterna
Åsele,0.524083393242272,0.795754026354319,0.6,268.5,0.124730409777139,39.7,Arbetarepartiet-Socialdemokraterna
Askersund,0.512742454553362,0.838326446280992,0.63,310.3,0.09219796468644,39.8,Arbetarepartiet-Socialdemokraterna
Åstorp,0.514595190012851,0.776414147048979,0.93,285.1,0.279970626032678,38.1,Arbetarepartiet-Socialdemokraterna
Åtvidaberg,0.507995828263515,0.844508086253369,0.78,296.4,0.080305927342256,39.4,Arbetarepartiet-Socialdemokraterna
Avesta,0.506628292342578,0.789535567313345,0.82,295.6,0.172335600907029,42.2,Arbetarepartiet-Socialdemokraterna
Båstad,0.495702730030334,0.805451005840363,0.77,341.9,0.138713346814965,43.9,Sverigedemokraterna
Bengtsfors,0.514208535926526,0.763365282215122,0.7,275.0,0.189951377633712,46.0,Arbetarepartiet-Socialdemokraterna
Berg,0.518255295429208,0.833859397417504,0.37,276.0,0.090579710144928,38.3,Arbetarepartiet-Socialdemokraterna
